Collar ID,Acq. Time [UTC], Acq. Time [LMT],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,3D Error,Mortality Status,Activity,Temp[°C],Main[V],Backup[V]
35076,2022-03-02 11:00:21,2022-03-02 11:00:21,2022-03-03 11:01:17,Iridium,39.01556,-123.13310,173,1.8,3D Validated,,Nothing Detected,,10,3.28,3.68
35078,2022-03-02 11:00:11,2022-03-02 11:00:11,2022-03-02 11:00:36,Iridium,39.00980,-123.11856,162,1.4,3D Validated,,Nothing Detected,,14,3.28,3.6
35077,2022-03-02 11:00:10,2022-03-02 11:00:10,2022-03-03 03:00:34,Iridium,39.01014,-123.07695,451,1.2,3D Validated,,Nothing Detected,,18,3.28,3.6
35077,2022-03-02 10:00:38,2022-03-02 10:00:38,2022-03-03 03:00:34,Iridium,39.00954,-123.07665,433,1.2,3D Validated,,Nothing Detected,,15,3.28,3.6
35074,2022-03-02 10:00:12,2022-03-02 10:00:12,2022-03-03 05:01:45,Iridium,39.04896,-123.11314,499,1.2,3D Validated,,Nothing Detected,,14,3.36,3.68
35076,2022-03-02 10:00:11,2022-03-02 10:00:11,2022-03-03 11:01:17,Iridium,39.01527,-123.13351,152,1.2,3D Validated,,Nothing Detected,,9,3.36,3.68
35078,2022-03-02 10:00:09,2022-03-02 10:00:09,2022-03-02 11:00:36,Iridium,39.00984,-123.11859,140,1.2,3D Validated,,Nothing Detected,,13,3.28,3.6
35078,2022-03-02 09:00:38,2022-03-02 09:00:38,2022-03-02 11:00:36,Iridium,39.00989,-123.11864,152,1.2,3D Validated,,Nothing Detected,,12,3.2,3.6
35077,2022-03-02 09:00:21,2022-03-02 09:00:21,2022-03-02 09:00:43,Iridium,39.00933,-123.07652,460,1.2,3D Validated,,Nothing Detected,,15,3.28,3.6
35074,2022-03-02 09:00:11,2022-03-02 09:00:11,2022-03-03 05:01:45,Iridium,39.04929,-123.11335,402,1.2,3D Validated,,Nothing Detected,,16,3.36,3.68
35076,2022-03-02 09:00:10,2022-03-02 09:00:10,2022-03-03 11:01:17,Iridium,39.02088,-123.13423,172,1.2,3D Validated,,Nothing Detected,,9,3.36,3.68
35076,2022-03-02 08:00:30,2022-03-02 08:00:30,2022-03-03 11:01:17,Iridium,39.01849,-123.13471,102,1.4,3D Validated,,Nothing Detected,,13,3.36,3.68
35078,2022-03-02 08:00:16,2022-03-02 08:00:16,2022-03-02 11:00:36,Iridium,39.01014,-123.12025,125,1.2,3D Validated,,Nothing Detected,,13,3.2,3.6
35074,2022-03-02 08:00:16,2022-03-02 08:00:16,2022-03-03 05:01:45,Iridium,39.04833,-123.11390,392,1,3D Validated,,Nothing Detected,,15,3.36,3.68
35077,2022-03-02 08:00:12,2022-03-02 08:00:12,2022-03-02 09:00:43,Iridium,39.00952,-123.07662,423,1,3D Validated,,Nothing Detected,,15,3.36,3.6
35077,2022-03-02 07:00:37,2022-03-02 07:00:37,2022-03-02 09:00:43,Iridium,39.00951,-123.07667,414,1,3D Validated,,Nothing Detected,,14,3.28,3.6
35074,2022-03-02 07:00:36,2022-03-02 07:00:36,2022-03-03 05:01:45,Iridium,39.04541,-123.11524,356,1.2,3D Validated,,Nothing Detected,,15,3.28,3.68
35076,2022-03-02 07:00:24,2022-03-02 07:00:24,2022-03-03 11:01:17,Iridium,39.02274,-123.13742,107,1,3D Validated,,Nothing Detected,,13,3.36,3.68
35078,2022-03-02 07:00:11,2022-03-02 07:00:11,2022-03-02 11:00:36,Iridium,39.02203,-123.13202,154,1,3D Validated,,Nothing Detected,,13,3.2,3.6
35076,2022-03-02 06:00:27,2022-03-02 06:00:27,2022-03-03 11:01:17,Iridium,39.02508,-123.13886,161,1.2,3D Validated,,Nothing Detected,,14,3.36,3.68
35074,2022-03-02 06:00:27,2022-03-02 06:00:27,2022-03-03 05:01:45,Iridium,39.04549,-123.11704,396,1.2,3D Validated,,Nothing Detected,,16,3.36,3.68
35077,2022-03-02 06:00:26,2022-03-02 06:00:26,2022-03-02 09:00:43,Iridium,39.00975,-123.07392,429,1.4,3D Validated,,Nothing Detected,,14,3.28,3.6
35078,2022-03-02 06:00:11,2022-03-02 06:00:11,2022-03-02 11:00:36,Iridium,38.99978,-123.11344,149,1.2,3D Validated,,Nothing Detected,,13,3.2,3.6
35077,2022-03-02 05:00:25,2022-03-02 05:00:25,2022-03-02 09:00:43,Iridium,39.00626,-123.07726,336,1,3D Validated,,Nothing Detected,,16,3.28,3.6
35076,2022-03-02 05:00:21,2022-03-02 05:00:21,2022-03-03 11:01:17,Iridium,39.02220,-123.13746,181,1,3D Validated,,Nothing Detected,,17,3.36,3.68
35078,2022-03-02 05:00:12,2022-03-02 05:00:12,2022-03-02 11:00:36,Iridium,38.99212,-123.11014,148,1,3D Validated,,Nothing Detected,,14,3.2,3.6
35074,2022-03-02 05:00:11,2022-03-02 05:00:11,2022-03-03 05:01:45,Iridium,39.04854,-123.11709,360,1.2,3D Validated,,Nothing Detected,,17,3.36,3.68
35078,2022-03-02 04:00:38,2022-03-02 04:00:38,2022-03-02 11:00:36,Iridium,38.97602,-123.10855,156,1,3D Validated,,Nothing Detected,,16,3.2,3.6
35077,2022-03-02 04:00:28,2022-03-02 04:00:28,2022-03-02 09:00:43,Iridium,39.00914,-123.08732,306,1,3D Validated,,Nothing Detected,,16,3.28,3.6
35076,2022-03-02 04:00:25,2022-03-02 04:00:25,2022-03-03 11:01:17,Iridium,39.02190,-123.13393,226,1.2,3D Validated,,Nothing Detected,,17,3.36,3.68
35074,2022-03-02 04:00:10,2022-03-02 04:00:10,2022-03-03 05:01:45,Iridium,39.04858,-123.11440,395,1.4,3D Validated,,Nothing Detected,,18,3.36,3.68
35074,2022-03-02 03:00:38,2022-03-02 03:00:38,2022-03-03 05:01:45,Iridium,39.04903,-123.11385,375,1.4,3D Validated,,Nothing Detected,,19,3.36,3.68
35077,2022-03-02 03:00:30,2022-03-02 03:00:30,2022-03-02 09:00:43,Iridium,39.02366,-123.08330,782,1.6,3D Validated,,Nothing Detected,,17,3.28,3.6
35076,2022-03-02 03:00:12,2022-03-02 03:00:12,2022-03-03 11:01:17,Iridium,39.01530,-123.14698,149,1.4,3D Validated,,Nothing Detected,,17,3.36,3.68
35078,2022-03-02 03:00:09,2022-03-02 03:00:09,2022-03-02 11:00:36,Iridium,38.98443,-123.11144,200,1.4,3D Validated,,Nothing Detected,,19,3.28,3.6
35074,2022-03-02 02:00:21,2022-03-02 02:00:21,2022-03-03 05:01:45,Iridium,39.04538,-123.11239,404,1.4,3D Validated,,Nothing Detected,,25,3.36,3.68
35078,2022-03-02 02:00:13,2022-03-02 02:00:13,2022-03-02 11:00:36,Iridium,38.99196,-123.10888,147,1,3D Validated,,Nothing Detected,,23,3.28,3.6
35077,2022-03-02 02:00:12,2022-03-02 02:00:12,2022-03-02 09:00:43,Iridium,39.03048,-123.07134,863,1,3D Validated,,Nothing Detected,,20,3.28,3.6
35076,2022-03-02 02:00:11,2022-03-02 02:00:11,2022-03-03 11:01:17,Iridium,39.01939,-123.14455,201,1.6,3D Validated,,Nothing Detected,,27,3.36,3.68
35076,2022-03-02 01:01:08,2022-03-02 01:01:08,2022-03-03 11:01:17,Iridium,39.01939,-123.14459,229,1,3D Validated,,Nothing Detected,,26,3.36,3.68
35078,2022-03-02 01:00:13,2022-03-02 01:00:13,2022-03-02 11:00:36,Iridium,38.99319,-123.10736,163,1,3D Validated,,Nothing Detected,,24,3.28,3.6
35077,2022-03-02 01:00:11,2022-03-02 01:00:11,2022-03-02 09:00:43,Iridium,39.03109,-123.06542,869,1,3D Validated,,Nothing Detected,,26,3.36,3.6
35074,2022-03-02 01:00:11,2022-03-02 01:00:11,2022-03-03 05:01:45,Iridium,39.04542,-123.11206,383,1.2,3D Validated,,Nothing Detected,,29,3.44,3.68
